ID,Project_name,Border,A_B_MW,B_A_MW,In_ref_grid_2030,In_ref_grid_2040,Commissioning_year,Project_Status_ID
1,RES in north of Portugal,internalPT00,1400,1400,yes,yes,2023,4
4,Interconnection Portugal-Spain,ES00-PT00,1500,800,yes,yes,2024,3
16,Biscay Gulf,ES00-FR00,2200,2200,yes,yes,2027,3
26,Reschenpass Interconnector Project,AT00-ITN1,300,300,yes,yes,2023,4
28,Italy-Montenegro,ITCS-ME00,600,600,no,yes,2026,4
29,Italy-Tunisia,ITSI-TN00,600,600,yes,yes,2028,3
33,Central Northern Italy,ITCN-ITN1,400,400,yes,yes,2023,4
33,Central Northern Italy,ITCN-ITCS,150,150,yes,yes,2023,4
35,CZ Southwest-east corridor,CZ00-DE00,500,500,yes,yes,2028,3
47,Westtirol – Vöhringen,AT00-DE00,600,600,yes,yes,2030,2
81,North South Interconnector,IE00-UKNI,950,900,yes,yes,2026,3
85,Integration of RES in Alentejo,internalPT00,1000,1000,yes,yes,2022,3
94,GerPol Improvements,DE00-PLI0,500,1500,yes,yes,2025,4
94,GerPol Improvements,PLI0-PL00,500,1500,yes,yes,2025,4
103,Reinforcements Ring NL phase I,DE00-NL00,600,600,yes,yes,2026,4
107,Celtic Interconnector,FR00-IE00,700,700,yes,yes,2026,3
111,3rd AC Finland-Sweden north,FI00-SE01,900,800,yes,yes,2025,3
120,MOG II: connection of up to 2 GW additional offshore wind Belgium,internalBE00,2100/ 1400,2100/ 1400,yes,yes,2028,2
121,Nautilus: 2nd interconnector Belgium – UK,BE00-UK00,1400,1400,yes,yes,2029,2
124,NordBalt phase 2,LT00-SE04,0,0,yes,yes,2027,3
127,Central Southern Italy,ITCS-ITS1,500,500,yes,yes,2028,3
130,HVDC Wolmirstedt to area Isar,internalDE00,2000,2000,yes,yes,2027,3
132,HVDC Line A-North,internalDE00,2400,2400,yes,yes,2027,3
138,Black Sea Corridor,BG00-RO00,600,600,yes,yes,2024,4
142,CSE4,BG00-GR00,930,600,yes,yes,2023,4
144,Mid Continental East corridor,RO00-RS00,844,600,yes,yes,2029,3
144,Mid Continental East corridor,HU00-RO00,617,335,yes,yes,2029,3
150,Italy-Slovenia,ITN1-SI00,400,400,yes,yes,2040,1
153,France-Alderney-Britain,FR00-UK00,1250,1250,no,yes,2031,3
170,Baltics synchro with CE,LT00-PL00,700,700,yes,yes,2028,4
174,Greenconnector,CH00-ITN1,1000,1000,yes,yes,2026,3
176,Hansa PowerBridge I,DE00-SE04,700,700,yes,yes,2027,3
183,"DKW-DE, Westcoast",DE00-DKW1,1000,1000,yes,yes,2024,3
186,east of Austria,internalAT00,2000,2000,yes,yes,2022,4
187,St. Peter (AT) – Pleinting (DE),AT00-DE00,1500,1500,yes,yes,2030,3
200,CZ Northwest-South corridor,CZ00-DE00,500,500,yes,yes,2024,3
210,Wurmlach (AT) – Somplago (IT) interconnection,AT00-ITN1,150,150,yes,yes,2026,3
219,EuroAsia Interconnector,CY00-GR03,1000,1000,yes,yes,2026,3
219,EuroAsia Interconnector,CY00-IL00,1000,1000,yes,yes,2026,3
227,Transbalkan Corridor,BA00-RS00,1200,1200,yes,yes,2027,3
227,Transbalkan Corridor,ME00-RS00,240,840,yes,yes,2027,3
